gene.name	gene.description	gene.family
Solyc10g006610	Auxin-responsive GH3 family protein (AHRD V3.11 *** tr|A0A2U1LNK3|A0A2U1LNK3_ARTAN)	
Solyc10g006650	Quinone reductase (AHRD V3.3 *** F8WQS4_NICBE)	
Solyc10g006690	G-type lectin S-receptor-like serine/threonine-protein kinase (AHRD V3.3 *** A0A2G2XZF1_CAPAN)	
Solyc10g006710	G-type lectin S-receptor-like serine/threonine-protein kinase (AHRD V3.3 *** A0A2G2VQY2_CAPBA)	
Solyc10g006720	G-type lectin S-receptor-like serine/threonine-protein kinase (AHRD V3.3 *** A0A2G3C305_CAPCH)	
Solyc10g006770	FACT complex subunit SPT16 (AHRD V3.3 *-* A0A2G2V392_CAPBA)	
Solyc10g006790	Protein kinase superfamily protein (AHRD V3.3 *** F4I8V6_ARATH)	
Solyc10g006800	Cyclic nucleotide-gated ion channel 4 (AHRD V3.3 *** A0A2G2V344_CAPBA)	
Solyc10g006860	NAD(P)-binding Rossmann-fold superfamily protein (AHRD V3.11 *** tr|F4IPI3|F4IPI3_ARATH)	
Solyc10g006950	Unknown protein	
Solyc10g007030	Transmembrane protein (AHRD V3.3 *** A0A1P8API0_ARATH)	
Solyc10g007050	Enolase-phosphatase .1	
Solyc10g007360	Protein DETOXIFICATION (AHRD V3.3 *** A0A2I4H3J9_9ROSI)	
Solyc10g007470	zinc finger BED domain-containing protein RICESLEEPER 1-like (AHRD V3.3 *** A0A2I4E182_9ROSI)	
Solyc10g007500	mitogen-activated protein kinase 10	
Solyc10g007580	VQ-like protein (AHRD V3.3 *-* A0A2U1QMP6_ARTAN)	
Solyc10g007600	glycolate oxidase	
Solyc10g007610	Nucleotide/sugar transporter family protein (AHRD V3.3 *** A0A2U1N0V9_ARTAN)	
Solyc10g007740	Magnesium transporter CorA-like family protein (AHRD V3.3 *** A0A2U1Q7X3_ARTAN)	
Solyc10g007750	Plant basic secretory protein (BSP) family protein (AHRD V3.3 *** A0A2U1KY39_ARTAN)	
Solyc10g007770	Protein MEI2-like 5 (AHRD V3.3 *** A0A2G2YIV9_CAPAN)	
Solyc10g007810	zinc finger BED domain-containing protein RICESLEEPER 2-like (AHRD V3.3 *** A0A2I4DNF9_9ROSI)	
Solyc10g007890	Cytochrome P450 (AHRD V3.11 *** tr|A0A2U1MAN7|A0A2U1MAN7_ARTAN)	
Solyc10g007960	cytochrome P450 CYP74C3	
Solyc10g008100	Glucosidase 2 subunit beta (AHRD V3.3 *** A0A2G3BC38_CAPCH)	
Solyc10g008130	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *** AT3G56510.5)	
Solyc10g008330	MLP-like protein 423 (AHRD V3.11 *** tr|A0A2I4G2T9|A0A2I4G2T9_9ROSI)	
Solyc10g008400	E3 ubiquitin-protein ligase RMA1.1	
Solyc10g008440	Expansin-B3 (AHRD V3.3 *** A0A2G3BCT4_CAPCH)	
Solyc10g008490	Protein phosphatase 2C (AHRD V3.3 *** A0A2U1PMG8_ARTAN)	
Solyc10g008520	Auxin-responsive GH3 family protein (AHRD V3.3 *** A0A2U1MRW5_ARTAN)	
Solyc10g008540	multidrug resistance protein (AHRD V3.3 *** AT1G09812.1)	
Solyc10g008570	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G2VRV6_CAPBA)	
Solyc10g008740	Mg-protoporphyrin IX chelatase (AHRD V3.3 *** A0A2G2YJA3_CAPAN)	
Solyc10g008770	Nudix hydrolase 22, chloroplastic (AHRD V3.3 *** A0A2G2YJB4_CAPAN)	
Solyc10g008800	Apoptosis inhibitory 5 (AHRD V3.11 *** tr|A0A200QVJ7|A0A200QVJ7_9MAGN)	
Solyc10g008850	transmembrane protein (AHRD V3.3 *-* AT1G28540.1)	
Solyc10g008950	Guanylate-binding family protein (AHRD V3.3 *** A0A2U1PP48_ARTAN)	
Solyc10g009020	RING/U-box superfamily protein (AHRD V3.3 *** F4JAD0_ARATH)	
Solyc10g009160	Bromodomain (AHRD V3.3 *** A0A200QTX5_9MAGN)	
Solyc10g009190	glycine-rich protein (AHRD V3.3 *-* AT4G21620.2)	
Solyc10g009210	Calmodulin binding protein-like (AHRD V3.3 *** A0A200QI92_9MAGN)	
Solyc10g009280	GRF1-interacting factor 2 (AHRD V3.11 *** tr|A0A2G3BDJ8|A0A2G3BDJ8_CAPCH)	
Solyc10g009350	MAP kinase kinase kinase 73	
Solyc01g005010	protein XRI1-like (AHRD V3.11 *** tr|A0A2I4FA04|A0A2I4FA04_9ROSI)	
Solyc01g005020	Salt Overly Sensitive 1	
Solyc01g005040	CASP-like protein (AHRD V3.3 *** A0A2G3CF58_CAPCH)	
Solyc01g005150	Cytochrome b561/ferric reductase transmembrane protein family (AHRD V3.3 *** A0A2U1MNM8_ARTAN)	
Solyc01g005280	Sec14p-like phosphatidylinositol transfer family protein (AHRD V3.3 *** A0A1Y1I4L4_KLENI)	
Solyc01g005330	Microtubule-associated protein 70 (AHRD V3.3 *** A0A200QNX4_9MAGN)	
Solyc01g005380	Histone-lysine N-methyltransferase setd3 (AHRD V3.11 *** tr|A0A1J3D0A4|A0A1J3D0A4_NOCCA)	
Solyc01g005390	Nudix hydrolase (AHRD V3.3 *** A0A2U1MBD3_ARTAN)	
Solyc01g005400	Caleosin (AHRD V3.3 *** A0A200QL80_9MAGN)	
Solyc01g005410	Caleosin (AHRD V3.11 *** tr|A0A200QL80|A0A200QL80_9MAGN)	
Solyc01g005420	C2 calcium-dependent membrane targeting (AHRD V3.3 *-* A0A2U1LLL4_ARTAN)	
Solyc01g005460	Dynein light chain (AHRD V3.3 *** A0A1U8EJW7_CAPAN)	
Solyc01g005540	Lysine--tRNA ligase (AHRD V3.11 *** tr|A0A1U8HGH5|A0A1U8HGH5_CAPAN)	
Solyc01g005550	DUF239 domain-containing protein/DUF4409 domain-containing protein (AHRD V3.3 *** A0A1Q3BKR6_CEPFO)	
Solyc01g005640	Histidine-tRNA ligase (AHRD V3.3 *** A0A1I9LTH3_ARATH)	
Solyc01g005670	BTB/POZ domain-containing protein (AHRD V3.3 *** A0A2I0X876_9ASPA)	
Solyc01g005690	Calcium ion binding protein (AHRD V3.11 *** tr|A0A2U1KGE3|A0A2U1KGE3_ARTAN)	
Solyc01g005787	Unknown protein	
Solyc01g005840	Ubiquitin conjugating enzyme (AHRD V3.3 *** W7U085_9STRA)	
Solyc01g005860	Unknown protein	
Solyc01g005910	Acid phosphatase/vanadium-dependent haloperoxidase-related protein (AHRD V3.3 *** A0A2U1NM03_ARTAN)	
Solyc01g005960	RNA helicase DEAD1	
Solyc01g006010	Branchpoint-bridging protein (AHRD V3.3 *-* A0A1J3JYE2_NOCCA)	
Solyc01g006040	E3 ubiquitin protein ligase (AHRD V3.3 *** A0A2I4FSG3_9ROSI)	
Solyc01g006055	Dirigent protein (AHRD V3.3 *** K4ASH2_SOLLC)	
Solyc01g006110	PP2A regulatory subunit TAP46 (AHRD V3.3 *** A0A2G2XNB2_CAPBA)	
Solyc01g006120	Protein kinase family protein (AHRD V3.3 *** A0A2U1M4N4_ARTAN)	
Solyc01g006150	Cation efflux protein (AHRD V3.3 *** A0A200PY73_9MAGN)	
Solyc01g006240	Inactive protein restricted tev movement.1	
Solyc01g006300	LECEVI1A	
Solyc01g006310	Peroxidase (AHRD V3.3 *** K4ASJ7_SOLLC)	
Solyc01g006320	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (AHRD V3.3 *** Q9LJT9_ARATH)	
Solyc01g006370	Callose synthase (AHRD V3.3 *** K7PRK8_MAIZE)	
Solyc01g006380	RING-type E3 ubiquitin transferase (AHRD V3.3 *-* A0A2U1P546_ARTAN)	
Solyc01g006740	Sucrose-phosphatase (AHRD V3.3 *** Q84ZX6_SOLLC)	
Solyc01g006810	E3 ubiquitin-protein ligase RHF2A-like (AHRD V3.3 *** A0A2I4GY35_9ROSI)	
Solyc01g006840	Calcium-dependent protein kinase (AHRD V3.3 *** B8QUH1_GOSHI)	
Solyc01g006850	Pentatricopeptide repeat (AHRD V3.3 *** A0A200Q9W7_9MAGN)	
Solyc01g006890	EEIG1/EHB.1	
Solyc01g006920	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G2XTB6_CAPBA)	
Solyc01g006980	Malonyl CoA-acyl carrier protein transacylase containing protein, expressed (AHRD V3.3 *** Q10MS3_ORYSJ)	
Solyc01g007110	LRAT-like domain (AHRD V3.3 *** A0A200Q9S3_9MAGN)	
Solyc01g007170	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein (AHRD V3.3 *** A0A061F065_THECC)	
Solyc01g007180	Spc97/Spc98 family of spindle pole body (SBP) component (AHRD V3.3 *** A0A2K3MUW2_TRIPR)	
Solyc01g007250	U3 small nucleolar ribonucleoprotein imp4 (BRIX domain-containing protein) (AHRD V3.11 *** tr|A0A166XUR7|A0A166XUR7_9PEZI)	
Solyc01g007780	HVA22-like protein (AHRD V3.3 *** A0A2G3AY13_CAPCH)	
Solyc01g007860	Ubiquitin-conjugating enzyme variant (AHRD V3.3 *** C8CP48_CITSI)	
Solyc01g007890	Protein indeterminate-domain 5, chloroplastic (AHRD V3.3 *-* A0A2G3AYF3_CAPCH)	
Solyc01g150101	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein (AHRD V3.11 *-* tr|A0A1P8ASG1|A0A1P8ASG1_ARATH)	
Solyc01g007950	Peroxidase (AHRD V3.11 *** tr|K4ASZ3|K4ASZ3_SOLLC)	
Solyc01g007980	Cysteine-rich receptor-like protein kinase 2 (AHRD V3.3 *** A0A2G2YVX5_CAPAN)	
Solyc01g008160	Protein SLOW GREEN 1, chloroplastic (AHRD V3.3 *** A0A2G2YVV0_CAPAN)	
Solyc01g008180	Remorin (AHRD V3.3 *** A0A200QBN3_9MAGN)	
Solyc01g008220	UPF0664 stress-induced protein C29B12.11c (AHRD V3.3 *** A0A1J3H3L4_NOCCA)	
Solyc01g008270	Prefoldin subunit 5 (AHRD V3.3 *** B6TVU2_MAIZE)	
Solyc01g008290	Dihydroorotate dehydrogenase (quinone), mitochondrial (AHRD V3.3 *** A0A1U8E220_CAPAN)	
Solyc01g008340	L19 ribosomal protein	
Solyc01g008420	Protein DETOXIFICATION (AHRD V3.3 *** S6BP63_TOBAC)	
Solyc01g008470	Translocation protein Sec62 (AHRD V3.3 *** A0A200QIN6_9MAGN)	
Solyc01g008520	Homolog of X-ray repair cross complementing 2 (XRCC2) (AHRD V3.3 *** A0A1P8BBF2_ARATH)	
Solyc01g008560	NAD kinase (AHRD V3.3 *** F2Z9R4_NICBE)	
Solyc01g008620	Glucan endo-1,3-beta-glucosidase (AHRD V3.11 *** tr|A0A1U8FGD7|A0A1U8FGD7_CAPAN)	
Solyc01g008690	GDP-mannose transporter (AHRD V3.3 *** A0A1B0VP09_ARATH)	
Solyc01g008780	Phospholipase A2 family protein (AHRD V3.3 *** AT4G29070.2)	
Solyc01g008850	Non-specific serine/threonine protein kinase (AHRD V3.11 *** tr|A0A2G2XP60|A0A2G2XP60_CAPBA)	
Solyc01g008930	AUREA phytochromobilin synthase	
Solyc01g009010	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	
Solyc01g009060	BTB-POZ and MATH domain protein (AHRD V3.3 *** B9VXZ7_CAPAN)	
Solyc01g009145	Glycosyl hydrolase (AHRD V3.11 *-* tr|D9ZCE7|D9ZCE7_9CARY)	
Solyc01g009290	Protein CLP1 homolog (AHRD V3.11 *** tr|A0A1U8H4I9|A0A1U8H4I9_CAPAN)	
Solyc01g009380	Nicalin (AHRD V3.3 *** A0A1Q3D0I4_CEPFO)	
Solyc01g009620	Cleavage and polyadenylation specificity factor subunit 5 (AHRD V3.3 *** A0A2G2XQG1_CAPBA)	
Solyc01g009670	Poly(A) polymerase I (AHRD V3.11 *** tr|A0A1J3JYV1|A0A1J3JYV1_NOCCA)	
Solyc01g009690	SC0A (AHRD V3.3 *** Q9ZS79_SOLLC)	
Solyc01g009780	GSH-induced LITAF domain protein (AHRD V3.3 *** GILP_ARATH)	
Solyc01g009850	hypothetical protein Chr1:9527956-9528814 REVERSE LENGTH=81 201606 (AHRD V3.11 *** AT1G27435.1)	
Solyc01g009930	receptor-like protein 12 (AHRD V3.3 *** A0A1U8F9L9_CAPAN)	
Solyc01g009990	Peptidyl-prolyl cis-trans isomerase (AHRD V3.3 *** A0A2G3DGA1_CAPCH)	
Solyc01g010150	ACT domain-containing protein (AHRD V3.3 *** A0A2U1MM44_ARTAN)	
Solyc01g010270	Protein SPIRA.1	
Solyc01g010310	Carbohydrate-binding X8 domain superfamily protein (AHRD V3.3 *** A0A1P8AZV6_ARATH)	
Solyc01g010370	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (AHRD V3.3 *** A0A2U1P6Q5_ARTAN)	
Solyc01g010390	Beta-glucosidase 34 (AHRD V3.3 *** A0A2G3DFM9_CAPCH)	
Solyc01g010440	Glycine-rich protein (AHRD V3.11 *** tr|Q9LFX8|Q9LFX8_ARATH)	
Solyc01g010480	Protein TWIN LOV.1	
Solyc01g010520	Helicase with zinc finger protein (AHRD V3.3 *** B3H5Y3_ARATH)	
Solyc01g010700	SNF1-related protein kinase regulatory subunit gamma-1-like (AHRD V3.3 *** A0A2G3DFN0_CAPCH)	
Solyc01g010760	Mitochondrial outer membrane protein porin (AHRD V3.3 *** A0A2K3KY08_TRIPR)	
Solyc01g010860	Sphinganine C(4)-monooxygenase.1	
Solyc01g010870	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (AHRD V3.3 *** A0A2U1LK68_ARTAN)	
Solyc01g010930	O-fucosyltransferase family protein (AHRD V3.11 *** tr|A0A2U1NIF6|A0A2U1NIF6_ARTAN)	
Solyc01g010990	Son of sevenless protein (AHRD V3.11 *** tr|Q9LQY7|Q9LQY7_ARATH)	
Solyc01g011030	RING/U-box superfamily protein (AHRD V3.3 *** A0A2K3MXG0_TRIPR)	
Solyc01g011090	Phospholipid-transporting ATPase (AHRD V3.3 *-* A0A1U8GCQ9_CAPAN)	
Solyc01g011100	Phospholipid-transporting ATPase (AHRD V3.3 *** A0A1U8GCQ9_CAPAN)	
Solyc01g011105	CLAVATA3/ESR (CLE)-related protein 25-like (AHRD V3.3 *-* A0A2I4EI69_9ROSI)	
Solyc10g009580	Glycosyltransferase (AHRD V3.11 *** tr|A0A2I4F8D3|A0A2I4F8D3_9ROSI)	
Solyc10g011660	Auxin-responsive GH3 family protein (AHRD V3.3 *** A0A2U1NZC8_ARTAN)	
Solyc10g011700	Unknown protein	
Solyc10g011740	Ubiquitin-conjugating enzyme (AHRD V3.3 *** H6VUS9_9FABA)	
Solyc10g011790	BTB/POZ domain-containing protein (AHRD V3.3 *** A0A1U8E4A8_CAPAN)	
Solyc10g011820	Delta(8)-fatty-acid desaturase (AHRD V3.11 *** tr|A0A2G3BES8|A0A2G3BES8_CAPCH)	
Solyc10g011930	Phenylalanine ammonia-lyase (AHRD V3.3 *-* B5LAW0_CAPAN)	
Solyc10g011980	Erythronate-4-phosphate dehydrogenase family protein (AHRD V3.3 *** Q8VYC6_ARATH)	
Solyc10g012060	Mechanosensitive ion channel protein 1, mitochondrial (AHRD V3.3 *** A0A2G3BDL8_CAPCH)	
Solyc10g012160	Methyltransferase (AHRD V3.3 *** A0A2I0X7P3_9ASPA)	
Solyc10g012240	Ubiquitin-conjugating enzyme (AHRD V3.3 *** A0A200QU68_9MAGN)	
Solyc10g018120	Neuronal PAS domain protein (AHRD V3.3 *** Q6DR18_ARATH)	
Solyc10g018260	UDP-glucuronate 4-epimerase 4 (AHRD V3.3 *** A0A1J3F7T2_NOCCA)	
Solyc10g018530	DNA mismatch repair protein MutS (AHRD V3.3 *** A0A200QBI0_9MAGN)	
Solyc10g018540	DNA mismatch repair protein MSH5 (AHRD V3.3 *-* A0A2G2VSH8_CAPBA)	
Solyc10g018900	Unknown protein	
Solyc10g019170	Unknown protein	
Solyc10g024320	Lon protease homolog (AHRD V3.3 *** A0A1J3CVW6_NOCCA)	
Solyc10g024410	Ribose-phosphate pyrophosphokinase (AHRD V3.3 *** A0A0U9HNH5_KLENI)	
Solyc10g037900	dihydroorotate dehydrogenase (DUF3598) (AHRD V3.3 *** AT2G44760.1)	
Solyc10g037950	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (AHRD V3.3 *** Q9FI36_ARATH)	
Solyc10g038060	Ribosomal L28 family (AHRD V3.3 *** A0A2U1PUF0_ARTAN)	
Solyc10g038080	Shikimate dehydrogenase (NADP(+)) (AHRD V3.3 *** A0A1G1USV4_9BACI)	
Solyc10g038130	Pectin acetylesterase (AHRD V3.3 *** K4CZD6_SOLLC)	
Solyc10g039270	Peptidylprolyl isomerase (AHRD V3.3 *** A0A1U8FL13_CAPAN)	
Solyc10g039290	Major facilitator superfamily protein (AHRD V3.3 *** A0A1P8AT47_ARATH)	
Solyc10g039380	DNA repair REX1-B protein (AHRD V3.3 *** AT5G04910.1)	
Solyc10g039390	heavy metal-associated isoprenylated plant protein 3 (AHRD V3.3 *** A0A1S3YFF0_TOBAC)	
Solyc10g160190	hypothetical protein Chr3:853153-856486 REVERSE LENGTH=521 201606 (AHRD V3.11 *-* AT3G03560.1)	
Solyc10g061970	60S ribosomal protein l37a-like (AHRD V3.3 *** A0A2K3N190_TRIPR)	
Solyc10g062220	ELMO/CED-12 family protein (AHRD V3.3 *** Q8VZ78_ARATH)	
Solyc10g044510	MLO-like protein (AHRD V3.3 *** K4CZH6_SOLLC)	
Solyc10g044530	Unknown protein	
Solyc10g044640	Magnesium transporter NIPA (AHRD V3.3 *-* A0A0A2JFU3_PENEN)	
Solyc10g044780	Cell cycle checkpoint control protein family (AHRD V3.3 *** A0A2U1MZQ8_ARTAN)	
Solyc10g044840	YacP-like NYN domain protein (AHRD V3.3 *** F4IQD4_ARATH)	
Solyc10g044900	Ion channel DM.1	
Solyc10g045180	Zinc finger protein (AHRD V3.3 *-* A0A200RDE1_9MAGN)	
Solyc10g045190	protein RDM1-like (AHRD V3.3 *** A0A1U7VRZ0_NICSY)	
Solyc10g045240	Beta-glucosidase (AHRD V3.3 *** F8R893_9MAGN)	
Solyc10g045270	Protein kinase family protein (AHRD V3.3 *** X5I191_IPONI)	
Solyc10g045290	Kinase interacting (KIP1-like) family protein (AHRD V3.3 *** A0A2K3NUK8_TRIPR)	
Solyc10g045320	Unknown protein	
Solyc10g045490	Plant organelle RNA recognition domain-containing protein (AHRD V3.3 *-* A0A2U1N2X7_ARTAN)	
Solyc10g045540	Tetratricopeptide repeat (TPR)-like superfamily protein (AHRD V3.3 *** A0A2U1N909_ARTAN)	
Solyc10g045630	plant/protein%2C putative (DUF3411) (AHRD V3.3 *** AT5G24690.1)	
Solyc03g117520	Protein FAR1-RELATED SEQUENCE 6 (AHRD V3.3 *** A0A2G2WQF9_CAPBA)	FAR1
Solyc03g118420	NF-X1-type zinc finger protein NFX.1	NF-X1
Solyc03g118770	WUSCHEL-related homeobox 6 (AHRD V3.3 *** A0A2G3A315_CAPAN)	WOX
Solyc03g119050	SANT/Myb domain (AHRD V3.3 *-* A0A200PR03_9MAGN)	MYB
Solyc03g119530	LOB domain-containing protein .1	LBD
Solyc03g120890	GATA transcription factor (AHRD V3.3 *** K4BMN8_SOLLC)	GATA
Solyc03g121400	Dof zinc finger protein14	Dof
Solyc03g121630	Protein FAR1-RELATED SEQUENCE 4 (AHRD V3.3 *** A0A2G3D0K3_CAPCH)	FAR1
Solyc03g121660	Protein indeterminate-domain 7 (AHRD V3.3 *** A0A2G2V8T0_CAPBA)	C2H2
Solyc03g121990	Developmentally-regulated GTP-binding protein 2 (AHRD V3.3 *** A0A2G2WPW5_CAPBA)	MYB_related
Solyc04g005100	transcription factor MYB1R1-like (AHRD V3.3 *** A0A2I4GKI8_9ROSI)	MYB_related
Solyc04g005130	bHLH transcription factor 027	bHLH
Solyc04g005660	transcription factor PRE6-like (AHRD V3.3 *** A0A2I4HLH0_9ROSI)	bHLH
Solyc04g008050	Two-component response regulator (AHRD V3.3 *** A0A2G2WRM9_CAPBA)	ARR-B
Solyc04g008870	Transcription factor DIVARICATA (AHRD V3.3 *** A0A2G2X9C5_CAPBA)	MYB
Solyc04g009950	cell division cycle 5	MYB
Solyc04g014470	R2R3MYB transcription factor 20	MYB
Solyc04g014530	Ethylene Response Factor C.2	ERF
Solyc04g015500	B3 domain-containing protein (AHRD V3.3 *-* A0A1Q3DFU3_CEPFO)	B3
Solyc04g015960	NAC domain-containing protein 26 (AHRD V3.3 --* XP_007202186.2)	NAC
Solyc04g028560	Lysine-specific demethylase REF6 (AHRD V3.11 *-* tr|A0A1U8FXA8|A0A1U8FXA8_CAPAN)	C2H2
Solyc04g049800	AP2-like ethylene-responsive transcription factor (AHRD V3.3 *** A0A220QTH6_9SOLA)	AP2
Solyc04g051690	WRKY transcription factor 51	WRKY
Solyc04g054320	leucine-zipper transcription factor	bZIP
Solyc04g056310	MYB transcription factor (AHRD V3.3 *-* A0A0U3IU11_MESCR)	MYB
Solyc04g064470	Glutathione S-transferase (AHRD V3.3 *-* A0A200PZB1_9MAGN)	SBP
Solyc04g064550	gras6	GRAS
Solyc04g064860	MADS-box transcription factor 23 (AHRD V3.3 *** A0A2G2Y5S9_CAPAN)	M-type_MADS
Solyc04g072900	dehydration-responsive element binding protein 3	ERF
Solyc04g074170	MYB transcription factor (AHRD V3.3 *-* A0A0U3IU11_MESCR)	MYB
Solyc04g074250	Methyl-CpG binding domain protein (AHRD V3.3 *-* A0A2K3LPB7_TRIPR)	C2H2
Solyc04g076360	Homeodomain-like superfamily protein (AHRD V3.3 *-* AT1G09710.4)	MYB_related
Solyc04g077980	C2H2-type zinc finger protein	C2H2
Solyc04g077990	LOB domain-containing protein 37 (AHRD V3.3 *** A0A2G3CPS9_CAPCH)	LBD
Solyc04g078420	R2R3MYB transcription factor 70	MYB
Solyc04g078670	NAC domain protein (AHRD V3.3 *** S5RUW2_9ROSA)	NAC
Solyc04g078690	bHLH transcription factor 035	bHLH
Solyc04g078770	Heat stress transcription factor B-4 (AHRD V3.11 *** tr|A0A2G2Y0E5|A0A2G2Y0E5_CAPAN)	HSF
Solyc04g078840	AREB	bZIP
Solyc04g079940	NAC domain-containing protein (AHRD V3.3 *** A0A2U1N781_ARTAN)	NAC
Solyc04g080500	Protein RADIALIS-like 6 (AHRD V3.3 *** A0A1U8GBN0_CAPAN)	MYB_related
Solyc04g080710	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein (AHRD V3.3 *-* A0A1I9LLG7_ARATH)	bHLH
Solyc04g080740	BZIP transcription factor (AHRD V3.3 *** I6MK31_PRUPE)	bZIP
Solyc04g081350	Transcription factor E2FC (AHRD V3.3 *** M5BC45_TOBAC)	E2F/DP
Solyc04g081370	C2H2-like zinc finger protein (AHRD V3.3 *** A0A2U1KP34_ARTAN)	C2H2
Solyc04g082480	Plant regulator RWP-RK family protein, putative (AHRD V3.3 *** A0A061FD78_THECC)	Nin-like
Solyc05g006650	bHLH transcription factor 036	bHLH
Solyc05g007110	WRKY transcription factor 76	WRKY
Solyc05g007160	R2R3MYB transcription factor 110	MYB
Solyc05g007180	jasmonic acid 1	HD-ZIP
Solyc05g007420	TCP transcription factor 23	TCP
Solyc05g007880	cyclic dof factor 2-like (AHRD V3.3 *** A0A2I4E3P6_9ROSI)	Dof
Solyc05g009250	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3AQY9_CAPCH)	ERF
Solyc05g009320	LOB domain-containing protein 40 (AHRD V3.11 *** tr|A0A2G2VK71|A0A2G2VK71_CAPBA)	LBD
Solyc05g009350	Zinc finger transcription factor 37	C3H
Solyc05g009660	Transcription factor PERIANTHIA (AHRD V3.3 *** A0A2G2YC86_CAPAN)	bZIP
Solyc05g009790	AP2/B3 transcription factor family protein (AHRD V3.3 *** A0A2U1LJK2_ARTAN)	RAV
Solyc05g009840	NAC domain-containing protein 8 (AHRD V3.3 *** A0A2G2YCM7_CAPAN)	NAC
Solyc05g009880	bHLH transcription factor 038	bHLH
Solyc05g010610	bHLH transcription factor 039	bHLH
Solyc05g012500	WRKY transcription factor 57	WRKY
Solyc05g012770	WRKY transcription factor 4	WRKY
Solyc05g013370	MADS-box protein (AHRD V3.3 *-* F6M3U9_BETPL)	M-type_MADS
Solyc05g015840	Squamosa promoter binding protein 13	SBP
Solyc05g026180	NAC domain (AHRD V3.3 *** A0A200QDG2_9MAGN)	NAC
Solyc05g047460	Auxin Response Factor 7B	ARF
Solyc05g050830	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2WT45_CAPBA)	ERF
Solyc05g051060	Homeodomain-like superfamily protein (AHRD V3.3 *** A0A2U1PJR7_ARTAN)	G2-like
Solyc05g051200	ethylene-responsive factor 1	ERF
Solyc05g051380	AP2-like ethylene-responsive transcription factor AIL6 (AHRD V3.3 *** A0A2G3CG18_CAPCH)	AP2
Solyc05g051460	Homeobox-leucine zipper protein HOX4 (AHRD V3.3 *** A0A2G2Y5D1_CAPAN)	HD-ZIP
Solyc05g052050	DNA-binding protein Pti4	ERF
Solyc05g052410	Dehydration-responsive element-binding protein 2A (AHRD V3.3 *** A0A1U8GX89_CAPAN)	ERF
Solyc05g052610	Transcription factor DIVARICATA (AHRD V3.3 *** A0A1U8GX57_CAPAN)	MYB_related
Solyc05g053150	R2R3MYB transcription factor 71	MYB
Solyc05g054170	Transcription factor GRAS (AHRD V3.11 *** tr|A0A200QZY2|A0A200QZY2_9MAGN)	GRAS
Solyc05g056120	GATA transcription factor (AHRD V3.3 *** K4C2T6_SOLLC)	GATA
Solyc06g005310	Transcription factor MYB48 (AHRD V3.3 *** A0A2G2Z7N5_CAPAN)	MYB_related
Solyc06g005330	R2R3MYB transcription factor 59	MYB
Solyc06g048630	methionine sulfoxide reductase A1	bZIP
Solyc06g050840	Transcription factor SCREAM2 (AHRD V3.11 *** tr|A0A2I0WJV6|A0A2I0WJV6_9ASPA)	bHLH
Solyc06g051060	Homeodomain-like protein (AHRD V3.3 *-* A0A2U1NZT9_ARTAN)	G2-like
Solyc06g051550	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein (AHRD V3.11 *-* tr|A0A1P8B6L1|A0A1P8B6L1_ARATH)	bHLH
Solyc06g051840	Solanum lycopersicum Cytokinin Response Factor 6	ERF
Solyc06g053350	Basic-leucine zipper (BZIP) transcription factor family protein (AHRD V3.3 *** F4IQT9_ARATH)	bZIP
Solyc06g054620	Zinc finger transcription factor 43	C3H
Solyc06g060940	GATA transcription factor 26 (AHRD V3.3 *** A0A2G3DC77_CAPCH)	GATA
Solyc06g061030	Two-component response regulator APRR2-like protein (AHRD V3.3 *** A0A2K3PF46_TRIPR)	ARR-B
Solyc06g061080	NAC domain-containing protein 45 (AHRD V3.3 *** A0A2G2ZAF7_CAPAN)	NAC
Solyc06g063070	Ethylene Response Factor  A.3	ERF
Solyc06g065040	bHLH transcription factor 086	bHLH
Solyc06g065190	TCP transcription factor 13	TCP
Solyc06g069100	NAC domain (AHRD V3.3 *-* A0A200Q3F5_9MAGN)	NAC
Solyc06g069370	bHLH transcription factor 046	bHLH
Solyc06g069430	FRUITFULL-like MADS-box 1	MIKC_MADS
Solyc06g069460	TCP transcription factor 6	TCP
Solyc06g069600	bHLH transcription factor 047	bHLH
Solyc06g069850	R2R3MYB transcription factor 30	MYB
Solyc06g070900	TCP transcription factor 17	TCP
Solyc06g071230	Transcription factor MYB1.1	MYB_related
Solyc06g071480	Dof zinc finger protein PBF (AHRD V3.3 *** A0A2G2WM24_CAPBA)	Dof
Solyc06g073180	CONSTANS interacting protein 1	DBB
